director_name,duration,actor_2_name,gross,genres,actor_1_name,movie_title,actor_3_name,plot_keywords,budget,title_year,imdb_score
Dave Filoni,98,Nika Futterman,3515433672008, Animation | Action | Adventure | Fantasy | Sci-Fi | Thriller,Matt Lanter,Star Wars: The Clone Wars,Tom Kane,five word title|wilhelm scream|sequel|clone|army,8500000,2008,5.8
Stephen Daldry,124,Ralph Fiennes,3418095412009, Drama | Romance,Kate Winslet,The Reader,Bruno Ganz,war crime|trial|secret|nazi|reading,32000000,2009,7.6
Kent Alterman,919899,Woody Harrelson,33472850252008, Comedy | Sport,Will Ferrell,Semi-Pro,André Benjamin,flint michigan|team|michigan|merger|nba,55000000,2008,5.8
Alex Kendrick,,Erin Bethea,33451479232009, Drama | Romance,Kirk Cameron,Fireproof,Ken Bevel,internet pornography|marriage|dare|fire|faith,500000,2008,6.6
John Patrick Shanley,104,Philip Seymour Hoffman,3342255632009, Drama | Mystery,Meryl Streep,Doubt,Amy Adams,priest|student|nun|boy|catholic,20000000,2008,7.5
Steven Brill,110102,Josh Peck,32853640132008, Comedy | Drama,Owen Wilson,Drillbit Taylor,Alex Frost,bodyguard|high school|nerd|bully|generation y,40000000,2008,5.7
Marco Schnabel,87,Jessica Alba,32178777222008, Comedy | Romance | Sport,Mike Myers,The Love Guru,Romany Malco,guru|bucket of popcorn|bloopers during credits|toronto maple leafs|chastity belt,62000000,2008,3.8
Adam Brooks,112,Rachel Weisz,3197384042008, Comedy | Drama | Romance,Ryan Reynolds,"Definitely, Maybe",Abigail Breslin,college|daughter|sex|wisconsin|girl,,2008,7.2
Gus Van Sant,128,Josh Brolin,31838002102009, Biography | Drama | History | Romance,Sean Penn,Milk,Emile Hirsch,gay activist|gay|gay rights|california|gay pickup,20000000,2009,7.6
John Erick Dowdle,89,Steve Harris,31691811142008, Horror | Sci-Fi | Thriller,Jennifer Carpenter,Quarantine,Columbus Short,apartment building|trapped|virus|found footage|television,12000000,2008,6.0
Peter Sollett,90,Kat Dennings,31487293142008, Comedy | Drama | Music | Romance,Michael Cera,Nick and Norah's Infinite Playlist,Aaron Yoo,night|band|gay|love|gay friend,9000000,2008,6.7
Kevin Smith,101,Elizabeth Banks,31452765232009, Comedy | Romance,Seth Rogen,Zack and Miri Make a Porno,Craig Robinson,friend|penis|male full frontal nudity|male frontal nudity|actor,24000000,2008,6.6
David Moreau,9892,Alessandro Nivola,3139749842008, Horror | Mystery,Jessica Alba,The Eye,Parker Posey,eye|violinist|eye transplant|seeing dead people|cellular memory,12000000,2008,5.4
Olivier Megaton,104,Robert Knepper,31316973262008, Action | Adventure | Crime | Mystery | Thriller,Jason Statham,Transporter 3,Natalya Rudakova,car|driving|toxic waste|declining a job offer|blood splatter,30000000,2008,6.1
George Clooney,114,Renée Zellweger,31199215302008, Comedy | Drama | Romance | Sport,George Clooney,Leatherheads,John Krasinski,football|hero|college football|surrender|fight,58000000,2008,6.0
Alexandre Aja,110112,Paula Patton,30691439212008, Horror | Mystery,Kiefer Sutherland,Mirrors,Amy Smart,mirror|medication|fire|evil|estranged wife,35000000,2008,6.2
